date,2020-07-05,2020-07-05,2020-07-05
ticker,sector,exchange,marketCap
A,Healthcare,NYQ,27382343680.0
AA,Basic Materials,NYQ,2039531520.0
AAAU,,,
AACG,Consumer Defensive,NGM,41577304.0
AADR,,,
AAL,Industrials,NMS,6351375360.0
AAMC,Financial Services,ASE,28296924.0
AAME,Financial Services,NGM,34598020.0
AAN,,,
AAOI,Technology,NGM,219463200.0
AAON,,,
AAP,Consumer Cyclical,NYQ,9801314304.0
AAPL,Technology,NMS,1578172809216.0
AAT,Real Estate,NYQ,1687307264.0
AAU,,,
AAWW,Industrials,NMS,1161066112.0
AAXJ,,,
AAXN,Industrials,NMS,6002860544.0
AB,,,
ABB,Industrials,NYQ,50297884672.0
ABBV,Healthcare,NYQ,174261157888.0
ABC,,,
ABCB,,,
ABEO,Healthcare,NCM,238539024.0
ABEQ,,,
ABEV,Consumer Defensive,NYQ,41912025088.0
ABG,Consumer Cyclical,NYQ,1477405696.0
ABIO,,,
ABM,Industrials,NYQ,2359313152.0
ABMD,Healthcare,NMS,11884435456.0
ABR,Real Estate,NYQ,976823808.0
ABR PRA,,,
ABR PRB,,,
ABR PRC,,,
ABT,Healthcare,NYQ,163141042176.0
ABTX,Financial Services,NGM,485795424.0
ABUS,Healthcare,NMS,129647432.0
AC,Financial Services,NYQ,808636480.0
ACA,Industrials,NYQ,1993034496.0
ACAD,Healthcare,NMS,8043985920.0
ACAM,Financial Services,NCM,391516160.0
ACAM W,,,
ACB,,,
ACBI,Financial Services,NMS,240148576.0
ACC,Real Estate,NYQ,4962000384.0
ACCO,Industrials,NYQ,616837504.0
ACEL,Consumer Cyclical,NYQ,727003840.0
ACEL WS,,,
ACER,Healthcare,NCM,33309900.0
ACES,,,
ACGL,,,
ACGL O,,,
ACGL P,,,
ACH,Basic Materials,NYQ,6092690432.0
ACHC,Healthcare,NMS,2274259712.0
ACHV,,,
ACI,,,
ACIA,Technology,NMS,2801831936.0
ACIO,,,
ACIU,Healthcare,NGM,507327360.0
ACIW,Technology,NMS,3105007104.0
ACLS,,,
ACM,Industrials,NYQ,5841538560.0
ACMR,Technology,NGM,1197880192.0
ACN,,,
ACNB,Financial Services,NCM,216834448.0
ACOR,Healthcare,NMS,35208532.0
ACP,Financial Services,NYQ,158632112.0
ACRE,Real Estate,NYQ,284590592.0
ACRS,Healthcare,NMS,62799448.0
ACRX,Healthcare,NGM,92070728.0
ACSG,,,
ACSI,,,
ACST,,,
ACT,,,
ACTG,Industrials,NMS,201154960.0
ACU,Consumer Defensive,ASE,73095848.0
ACV,Financial Services,NYQ,246112208.0
ACWF,,,
ACWI,,,
ACWV,,,
ACWX,,,
ACY,Industrials,ASE,4220252.0
ADAP,Healthcare,NMS,1504566400.0
ADBE,Technology,NMS,212467613696.0
ADC,Real Estate,NYQ,3607485184.0
ADCT,,,
ADES,,,
ADI,Technology,NMS,44667846656.0
ADIL,Healthcare,NCM,18560448.0
ADIL W,,,
ADM,Consumer Defensive,NYQ,21975422976.0
ADMA,Healthcare,NGM,249537920.0
ADME,,,
ADMP,,,
ADMS,Healthcare,NGM,72084992.0
ADNT,Consumer Cyclical,NYQ,1552758784.0
ADP,Industrials,NMS,64698175488.0
ADPT,Healthcare,NMS,6025911296.0
ADRE,,,
ADRO,Healthcare,NMS,202207504.0
ADS,Financial Services,NYQ,2081343616.0
ADSK,Technology,NMS,52640157696.0
ADSW,Industrials,NYQ,2719008512.0
ADT,Industrials,NYQ,5937840640.0
ADTN,Technology,NMS,504512928.0
ADUS,Healthcare,NMS,1433633920.0
ADVM,Healthcare,NGM,1671754368.0
ADX,Financial Services,NYQ,1650753920.0
ADXN,,NCM,
ADXS,,,
AE,,,
AEB,,,
AEE,Utilities,NYQ,18079830016.0
AEF,Financial Services,NYQ,316183712.0
AEFC,,,
AEG,Financial Services,NYQ,6306582016.0
AEGN,Industrials,NMS,493699136.0
AEHR,Technology,NCM,43958648.0
AEIS,Industrials,NMS,2572978944.0
AEL,Financial Services,NYQ,2088623232.0
AEL PRA,,,
AEL PRB,,,
AEM,Basic Materials,NYQ,15083598848.0
AEMD,,,
AEO,,,
AEP,Utilities,NYQ,40895508480.0
AEP PRB,,,
AER,Industrials,NYQ,3815216896.0
AERI,Healthcare,NGM,649162176.0
AES,Utilities,NYQ,9627852800.0
AESE,Communication Services,NMS,60985828.0
AESR,,,
AEY,,,
AEYE,,,
AEZS,,,
AFB,Financial Services,NYQ,389205952.0
AFC,,,
AFG,Financial Services,NYQ,5354565120.0
AFGB,,,
AFGC,,,
AFGD,,,
AFGH,,,
AFH,,,
AFI,Industrials,NYQ,61973344.0
AFIF,,,
AFIN,Real Estate,NMS,860627008.0
AFIN P,,,
AFK,,,
AFL,Financial Services,NYQ,25299329024.0
AFLG,,,
AFMC,,,
AFMD,Healthcare,NGM,348462080.0
AFSM,,,
AFT,Financial Services,NYQ,194508016.0
AFTY,,,
AFYA,Consumer Defensive,NMS,2176312320.0
AG,,,
AGBA,,,
AGBA R,,,
AGBA W,,,
AGCO,Industrials,NYQ,4091525376.0
AGD,Financial Services,NYQ,113699384.0
AGE,Healthcare,ASE,33480344.0
AGEN,,,
AGFS,Consumer Defensive,NMS,143670144.0
AGFS W,,,
AGG,,,
AGGP,,,
AGGY,,,
AGI,Basic Materials,NYQ,3637853184.0
AGIO,Healthcare,NMS,3836450560.0
AGLE,Healthcare,NMS,404019840.0
AGM,Financial Services,NYQ,661911808.0
AGM A,,,
AGM PRA,,,
AGM PRC,,,
AGM PRD,,,
AGM PRE,,,
AGMH,,,
AGNC,Real Estate,NMS,7112224256.0
AGNC M,,,
AGNC N,,,
AGNC O,,,
AGNC P,,,
AGO,Financial Services,NYQ,2081652608.0
AGO PRB,,,
AGO PRE,,,
AGO PRF,,,
AGQ,,,
AGR,Utilities,NYQ,13321205760.0
AGRO,Consumer Defensive,NYQ,517397408.0
AGRX,Healthcare,NCM,246813344.0
AGS,Consumer Cyclical,NYQ,129954240.0
AGT,,,
AGTC,Healthcare,NGM,165672800.0
AGX,Industrials,NYQ,703937024.0
AGYS,Technology,NMS,419576352.0
AGZ,,,
AGZD,,,
AHC,Communication Services,NYQ,35969472.0
AHCO,Healthcare,NCM,1494982144.0
AHH,Real Estate,NYQ,783871168.0
AHH PRA,,,
AHL PRC,,,
AHL PRD,,,
AHL PRE,,,
AHPI,,,
AHT,Real Estate,NYQ,73156392.0
AHT PRD,,,
AHT PRF,,,
AHT PRG,,,
AHT PRH,,,
AHT PRI,,,
AI,,,
AI PRB,,,
AI PRC,,,
AIA,,,
AIC,,,
AIEQ,,,
AIF,Financial Services,NYQ,181523200.0
AIG,,,
AIG PRA,,,
AIG WS,,,
AIH,Healthcare,NMS,146399968.0
AIHS,Financial Services,NMS,22206646.0
AIIQ,,,
AIKI,Healthcare,NCM,28477424.0
AIM,Healthcare,ASE,79276808.0
AIMC,Industrials,NMS,1980787072.0
AIMT,Healthcare,NMS,1097518464.0
AIN,Consumer Cyclical,NYQ,1839161984.0
